source,target,weight
AMW,MHK,2.0
EUG,RDM,2082.0
MFR,RDM,88.0
RDM,SEA,37195.0
PDX,RDM,141677.0
LMT,RDM,3626.0
RDM,SFO,19940.0
LAX,RDM,3852.0
EAT,RDM,4.0
RDM,YKM,8.0
EKO,RDM,65.0
RDM,SLE,13.0
GEG,RDM,13.0
RDD,RDM,42.0
LWS,RDM,3.0
AST,RDM,1.0
CLM,RDM,2.0
PDT,RDM,1.0
RDM,SJC,208.0
ACV,RDM,1.0
PUW,RDM,2.0
RDM,SMF,12.0
FLL,RDM,1.0
PHX,RDM,3.0
BFI,RDM,3.0
GGG,RDM,10.0
GTF,RDM,3.0
FAT,RDM,7.0
RDM,TUS,13.0
MWH,RDM,8.0
BIL,RDM,2.0
DFW,RDM,1.0
RBG,RDM,18.0
RDM,SLC,7490.0
CPR,RDM,2.0
RDM,RNO,12.0
FBK,RDM,1.0
ANC,RDM,2.0
BIF,RDM,3.0
CIC,RDM,2.0
RDM,SAF,1.0
ABQ,RDM,4.0
FSM,RDM,6.0
LAS,RDM,611.0
DQF,RDM,1.0
ICT,RDM,1.0
AZA,RDM,255.0
DLH,RDM,3.0
CEC,RDM,1.0
OKC,RDM,2.0
RDM,SAN,1.0
RDM,STS,2.0
DRO,RDM,1.0
OAK,RDM,2.0
EKO,SJC,202.0
EKO,YKM,243.0
EKO,IAH,189.0
EKO,ELP,206.0
DBQ,EKO,74.0
CPR,EKO,70.0
EKO,HLN,50.0
DFW,EKO,337.0
DLH,EKO,55.0
EKO,EUG,128.0
EKO,FAT,157.0
EKO,TUL,230.0
EKO,OMA,716.0
ACT,EKO,213.0
BTM,EKO,173.0
AUS,EKO,257.0
EKO,SLE,42.0
EKO,PIA,119.0
CWA,EKO,113.0
EKO,TUS,162.0
EKO,PUB,97.0
EKO,FOE,255.0
COS,EKO,166.0
EKO,OKC,325.0
CLM,EKO,247.0
EKO,GJT,277.0
EKO,SLC,27181.0
EKO,LBF,99.0
EKO,SPS,269.0
EKO,GEG,323.0
EKO,SEA,1379.0
CYS,EKO,141.0
ABR,EKO,5.0
BRD,EKO,3.0
AMA,EKO,355.0
BIL,EKO,69.0
EKO,ICT,314.0
EKO,ROW,7.0
BIS,EKO,35.0
EKO,MSO,74.0
EKO,GCC,2.0
EKO,LBB,70.0
EKO,LBL,94.0
EKO,MAF,39.0
EKO,MSN,184.0
EKO,LNK,87.0
EKO,MFR,149.0
EKO,PDX,1058.0
ALO,EKO,54.0
EKO,RFD,139.0
EKO,GRB,162.0
EKO,LSE,57.0
EKO,FCA,208.0
EKO,MKE,255.0
BLI,EKO,356.0
EKO,FOD,62.0
DSM,EKO,188.0
EAU,EKO,140.0
EKO,MCW,3.0
EKO,RAP,299.0
EKO,LIT,90.0
EKO,SHV,49.0
EKO,MCI,200.0
ABQ,EKO,465.0
EKO,GFK,140.0
EKO,GTF,247.0
BFL,EKO,11.0
EKO,SAT,281.0
EKO,MSP,155.0
EKO,SGF,186.0
BFF,EKO,217.0
EKO,FSD,42.0
EKO,GRI,217.0
CID,EKO,183.0
EKO,FYV,1.0
EKO,SUX,12.0
EKO,GCK,64.0
BTR,EKO,4.0
EKO,IDA,7.0
EKO,SPI,117.0
EKO,SBA,80.0
CRP,EKO,174.0
DEC,EKO,12.0
EKO,ORD,238.0
BZN,EKO,6.0
EKO,PIR,2.0
EKO,MLU,2.0
EKO,YUM,14.0
EKO,MOT,116.0
EKO,GYY,134.0
EKO,FAR,71.0
EKO,RST,36.0
EKO,STL,95.0
EKO,SAN,86.0
BNA,EKO,32.0
EKO,EVV,66.0
EKO,FSM,124.0
EKO,MWH,16.0
EKO,MEM,18.0
EKO,PHX,187.0
EKO,JAN,1.0
EKO,MOD,34.0
EKO,OAK,79.0
EKO,RDD,33.0
EKO,LWS,208.0
CMI,EKO,63.0
EKO,SCK,25.0
EKO,IND,86.0
BMI,EKO,86.0
EKO,TWF,32.0
EKO,GGG,46.0
EKO,RNO,6349.0
EKO,LRD,96.0
ACV,EKO,17.0
CAK,EKO,42.0
EKO,MTJ,16.0
CLE,EKO,46.0
CLL,EKO,8.0
DTW,EKO,24.0
ABI,EKO,164.0
DAY,EKO,41.0
CVG,EKO,22.0
EKO,JAC,17.0
CMH,EKO,8.0
EKO,SBN,74.0
EKO,FWA,36.0
AZO,EKO,10.0
EKO,HOU,49.0
EKO,RKS,27.0
EKO,LAS,19.0
BPT,EKO,15.0
EKO,PIH,7.0
EKO,SLN,24.0
EKO,UIN,10.0
EKO,LAW,6.0
EKO,TOL,15.0
EKO,RIW,19.0
BRO,EKO,4.0
EKO,SJT,28.0
EKO,PRB,24.0
EKO,SFO,9.0
EKO,PUW,2.0
EKO,SHR,5.0
EKO,MCE,2.0
EKO,GRK,8.0
EKO,VGT,438.0
EKO,LAX,1.0
CDC,EKO,1.0
PNC,WDG,2911.0
DFW,WDG,1857.0
HRO,WDG,1.0
END,RCA,12.0
BWD,WDG,1.0
DFW,END,1.0
LBL,WDG,1731.0
DDC,WDG,1.0
ERI,PIT,53939.0
CVG,ERI,7536.0
ERI,ORH,1.0
ERI,ITH,227.0
ELM,ERI,11.0
BOS,ERI,10.0
ATL,ERI,1394.0
ERI,ORD,8.0
ERI,MDW,4.0
ERI,PHL,11502.0
ERI,LAS,2.0
ERI,GSO,11.0
ERI,MKE,4.0
ERI,FNT,2.0
CLE,ERI,35188.0
BUF,ERI,29.0
ERI,EWR,10.0
BGR,ERI,1.0
CLT,ERI,647.0
ERI,JFK,3.0
ERI,SYR,7.0
ERI,RIC,8.0
ERI,GRR,5.0
ERI,MSP,3.0
ERI,SBN,8.0
DTW,ERI,42875.0
ERI,YIP,12.0
ABE,ERI,8.0
ERI,LGA,4.0
ERI,PVD,13.0
ERI,LEX,3.0
BNA,ERI,1.0
BHM,ERI,1.0
ACY,ERI,206.0
ERI,MEM,9.0
ERI,MCO,2.0
ERI,PHX,1.0
CMH,ERI,5.0
ERI,YNG,938.0
ERI,IND,594.0
ERI,PWM,3.0
ERI,MDT,10.0
BGM,ERI,10.0
ERI,IAD,4.0
ALB,ERI,8.0
ERI,MSY,1.0
ERI,ROC,7.0
CAK,ERI,8.0
AVP,ERI,7.0
AZO,ERI,1.0
ERI,ROA,2.0
ERI,RDU,4.0
CID,ERI,1.0
ERI,GSP,1.0
BTV,ERI,3.0
CRW,ERI,4.0
ERI,MSN,3.0
ERI,STL,1.0
CHS,ERI,9.0
DCA,ERI,3.0
CHA,ERI,2.0
ERI,SCE,1.0
CHO,ERI,1.0
ERI,FLL,1.0
ERI,LAN,1.0
BDL,ERI,5.0
CAE,ERI,3.0
ERI,TOL,8.0
ERI,JHW,4.0
ERI,FWA,1.0
ERI,MHT,5.0
ERI,ILM,5.0
DAY,ERI,7.0
ERI,GDC,1.0
ERI,IAH,1.0
ERI,FLO,1.0
ERI,RNO,2.0
DFW,ERI,1.0
ERI,ISO,2.0
ERI,GRB,1.0
BWI,ERI,2.0
DLH,ERI,3.0
ERI,SFB,1.0
ERI,PGV,1.0
ERI,TYS,1.0
GYY,SLC,92.0
BFF,GYY,7.0
GRI,GYY,1.0
GYY,YIP,524.0
CMI,GYY,136.0
GYY,OMA,42.0
GYY,LRD,48.0
GYY,MDW,7.0
ATL,GYY,32.0
GYY,LBF,4.0
GYY,RAP,13.0
GJT,GYY,1.0
GYY,MCI,99.0
ELP,GYY,22.0
GYY,SFB,1073.0
GYY,PUB,4.0
GYY,TOL,7.0
CAK,GYY,2.0
DAY,GYY,10.0
GYY,LIT,8.0
GYY,SBN,14.0
GYY,MSP,12.0
GYY,PIT,401.0
GYY,LEX,5.0
GYY,PHL,2.0
ABE,GYY,208.0
GYY,MEM,7.0
GYY,ICT,6.0
GYY,IAD,3.0
BUF,GYY,12.0
GYY,RFD,15.0
GYY,HSV,2.0
DSM,GYY,3.0
BWG,GYY,2.0
GYY,TUL,2.0
EWR,GYY,8.0
ADS,GYY,3.0
GYY,IND,13.0
GYY,MKE,5.0
DET,GYY,5.0
DTW,GYY,11.0
GRK,GYY,1.0
GYY,LOZ,10.0
FWA,GYY,4.0
GYY,SUS,5.0
EVV,GYY,3.0
GYY,ILM,2.0
GYY,WGO,2.0
FSD,GYY,1.0
CLT,GYY,4.0
BWI,GYY,2.0
CLE,GYY,19.0
GSB,GYY,1.0
GYY,MYR,136.0
GYY,PHX,2.0
CAE,GYY,3.0
GYY,RDU,3.0
GYY,MBS,4.0
CLU,GYY,1.0
GYY,LCK,435.0
GYY,SYI,1.0
GYY,LAX,2.0
GYY,TLH,1.0
BMG,GYY,2.0
GYY,SHV,18.0
GYY,MNN,1.0
GYY,RNO,18.0
ALB,GYY,1.0
CRW,GYY,1.0
GYY,LUK,5.0
GSP,GYY,2.0
GYY,MGM,1.0
GYY,MFD,2.0
GYY,LAS,183.0
GYY,PNS,1.0
ASN,GYY,1.0
CHS,GYY,3.0
GSO,GYY,4.0
ACY,GYY,18.0
GYY,TVC,4.0
GYY,KY5,1.0
GYY,MIA,6.0
GPT,GYY,8.0
BDL,GYY,1.0
GYY,YNG,3.0
GYY,TCL,4.0
GYY,LGA,1.0
BNA,GYY,3.0
DRT,GYY,1.0
GYY,ORD,16.0
DQF,GYY,111.0
GYY,MCO,82.0
FLL,GYY,10.0
DFW,GYY,1.0
FNT,GYY,7.0
AEX,GYY,1.0
GYY,STL,9.0
BRO,GYY,1.0
GYY,HUF,1.0
GYY,SAT,2.0
GYY,RWI,1.0
GYY,SPS,1.0
GYY,OKC,12.0
GYY,LAN,3.0
GYY,TPA,1.0
GYY,MDT,1.0
GYY,SNA,1.0
GYY,PWM,1.0
GYY,TYS,4.0
BOS,GYY,2.0
GYY,SLN,4.0
GYY,IAH,1.0
AGC,GYY,1.0
GBD,HYS,3968.0
DDC,HYS,29.0
HYS,ICT,630.0
FAI,HYS,2.0
GCK,HYS,200.0
HYS,MCI,4616.0
HYS,SLN,8.0
FOE,HYS,2.0
HYS,LBL,12.0
HYS,MHK,14.0
EAR,HYS,3.0
BRL,HYS,1.0
HYS,PUB,11.0
HYS,JLN,2.0
HYS,TBN,1.0
HNL,ITO,332450.0
ITO,OGG,62569.0
ITO,LAX,584.0
ITO,OAK,1187.0
ITO,STL,1.0
ITO,SFO,2.0
ITO,PHX,7.0
ITO,SNA,2.0
ITO,LAS,1.0
DQF,ITO,1.0
AZA,ITO,1.0
AOH,CLE,3.0
AOH,YIP,30.0
AOH,LIT,5.0
AOH,LRD,1.0
AOH,ELP,1.0
AOH,OKC,1.0
AOH,ICT,2.0
AOH,ROA,1.0
AOH,BNA,6.0
APC,PHX,4.0
APC,SLC,1.0
APC,SAN,1.0
APC,DCA,1.0
APC,RST,1.0
GUS,YIP,16.0
GUS,SUS,1.0
ORD,RNO,26971.0
ATL,RNO,2705.0
DTW,RNO,5662.0
PIT,RNO,18.0
RNO,SMF,2010.0
RNO,SNA,13984.0
LAX,RNO,105604.0
ABQ,RNO,459.0
MSP,RNO,19759.0
RNO,SJC,83504.0
PDX,RNO,74026.0
CLT,RNO,10.0
LAS,RNO,189769.0
PHX,RNO,90175.0
OAK,RNO,84176.0
RNO,SEA,106155.0
DFW,RNO,56158.0
ACV,RNO,47.0
FAT,RNO,15173.0
EWR,RNO,39.0
RNO,TUS,670.0
RNO,SFO,82312.0
RNO,SLC,73998.0
LMT,RNO,6.0
RNO,SAN,19873.0
GEG,RNO,1497.0
PHL,RNO,78.0
EUG,RNO,997.0
CYS,RNO,5.0
OGG,RNO,3.0
IAH,RNO,9243.0
RAP,RNO,33.0
MCI,RNO,189.0
JFK,RNO,11.0
RNO,STL,6320.0
HNL,RNO,26.0
RNO,YKM,7.0
ANC,RNO,217.0
COS,RNO,1806.0
LNK,RNO,64.0
CMH,RNO,16.0
FSD,RNO,20.0
OMA,RNO,524.0
RNO,SAT,100.0
IAD,RNO,10.0
MDW,RNO,2315.0
CVG,RNO,17.0
AUS,RNO,97.0
BGR,RNO,4.0
NFL,RNO,1.0
AMA,RNO,45.0
HOU,RNO,144.0
ELP,RNO,50.0
BLI,RNO,682.0
MIA,RNO,6.0
LBB,RNO,52.0
MFR,RNO,6.0
ICT,RNO,181.0
BIL,RNO,13.0
BFI,RNO,242.0
PUB,RNO,16.0
DAL,RNO,38.0
MHR,RNO,6476.0
BHM,RNO,35.0
MHT,RNO,2.0
BNA,RNO,35.0
BOS,RNO,4.0
MLU,RNO,9.0
RNO,TUL,58.0
ACT,RNO,32.0
MEM,RNO,8164.0
CRP,RNO,32.0
BFF,RNO,1.0
IND,RNO,88.0
CHA,RNO,18.0
RNO,SHV,64.0
RNO,SJT,30.0
BFL,RNO,51.0
GTF,RNO,14.0
LIT,RNO,49.0
RNO,SBN,15.0
RNO,SGF,40.0
RNO,SPI,40.0
GRI,RNO,3.0
CLE,RNO,29.0
RNO,SCK,20.0
AVP,RNO,2.0
LFT,RNO,2.0
MKE,RNO,38.0
FWA,RNO,19.0
DSM,RNO,96.0
EVV,RNO,20.0
FOE,RNO,21.0
DAY,RNO,13.0
RNO,YUM,2.0
OKC,RNO,71.0
RNO,SPS,41.0
RNO,SBA,12.0
GJT,RNO,13.0
JAN,RNO,30.0
LBL,RNO,9.0
MSN,RNO,18.0
BPT,RNO,14.0
DQF,RNO,27.0
ABI,RNO,29.0
GRR,RNO,25.0
BTR,RNO,20.0
MSY,RNO,29.0
RNO,TYS,24.0
BWI,RNO,8.0
RIC,RNO,5.0
RNO,SCF,2.0
MAF,RNO,6.0
HIK,RNO,2.0
RNO,TOL,10.0
CID,RNO,2.0
RNO,SUX,2.0
RNO,VGT,5.0
LRD,RNO,4.0
HLN,RNO,2.0
RNO,TPA,3.0
FAR,RNO,7.0
CWA,RNO,20.0
PIA,RNO,7.0
RFD,RNO,41.0
FCA,RNO,5.0
KTN,RNO,2.0
RDD,RNO,4.0
PUW,RNO,11.0
LWS,RNO,4.0
LCH,RNO,10.0
ILN,RNO,12.0
GRB,RNO,8.0
MOB,RNO,20.0
CAK,RNO,2.0
CAE,RNO,8.0
RDU,RNO,3.0
GRK,RNO,8.0
GPT,RNO,1.0
MGM,RNO,3.0
FSM,RNO,1.0
HSV,RNO,3.0
CMI,RNO,2.0
AZA,RNO,17.0
MOD,RNO,2.0
MCO,RNO,1.0
FWH,RNO,1.0
LGU,RNO,5.0
RNO,XNA,2.0
GCK,RNO,10.0
LRU,RNO,4.0
RIV,RNO,1.0
PNS,RNO,5.0
CHS,RNO,3.0
COU,RNO,4.0
RMG,YIP,3.0
ATL,RMG,1.0
LUK,RMG,3.0
ABQ,TSM,2913.0
ACT,AUS,24.0
ACT,MAF,20.0
ACT,SLC,83.0
ACT,MEM,17.0
ACT,DFW,83942.0
ANC,CNW,1.0
ABQ,ACT,43.0
ACT,SJT,25.0
ACT,FYV,5.0
ACT,LCH,8.0
ACT,CLL,95.0
ACT,ILE,2808.0
ACT,BPT,16.0
ACT,GGG,4.0
ACT,LFT,16.0
ABI,ACT,29.0
ACT,FSM,5.0
ACT,ESF,3.0
ACT,LIT,14.0
ACT,SHV,16.0
ACT,TPA,6.0
ACT,TYR,16.0
ACT,TUL,18.0
ACT,MLU,6.0
ACT,LAW,5.0
ACT,LRD,26.0
ACT,JAN,26.0
ACT,ICT,4.0
ACT,RIC,5.0
ACT,BTR,38.0
ACT,OKC,27.0
ACT,CRP,31.0
ACT,FLL,27.0
ACT,LBB,58.0
